Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id,ll,v_gain,v_loss,u,p_fish,p_defer,p_safe,SubjectiveValue
1.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,1.093173e+00,5.0,1.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,1.0,2.0,-4.0,2.0,1.0,2.0,3.0,7.439823e-01,2.0,6.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,1.0,3.0,-2.0,6.0,1.0,1.0,3.0,1.244448e+00,1.0,3.0,1.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,1.0,4.0,-4.0,2.0,1.0,0.0,2.0,1.081249e+00,2.0,6.0,1.0,Sub111,-1.2996759268493405,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,1.0,5.0,3.0,3.0,1.0,0.0,2.0,1.116569e+00,5.0,2.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,1.0,6.0,-3.0,5.0,1.0,1.0,3.0,1.259775e+00,1.0,4.0,1.0,Sub111,-0.8427225492526962,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,1.0,7.0,-1.0,5.0,1.0,0.0,2.0,1.492619e+00,2.0,3.0,1.0,Sub111,-2.446328053444743,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,1.0,8.0,4.0,2.0,1.0,0.0,2.0,6.545905e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,1.0,9.0,-2.0,2.0,0.0,998.0,4.0,?,3.0,5.0,1.0,Sub111,,,,,,,,
1.0,1.0,10.0,-1.0,5.0,1.0,1.0,3.0,8.967270e-01,2.0,3.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,1.0,11.0,2.0,8.0,1.0,0.0,2.0,7.517183e-01,2.0,0.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,1.0,12.0,1.0,1.0,1.0,0.0,1.0,7.927615e-01,5.0,4.0,1.0,Sub111,-0.7708160092806303,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,1.0,13.0,-4.0,4.0,1.0,1.0,3.0,1.140981e+00,1.0,5.0,1.0,Sub111,-2.114839766866272,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,1.0,14.0,-4.0,2.0,1.0,2.0,3.0,1.028746e+00,2.0,6.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,1.0,15.0,4.0,2.0,1.0,0.0,2.0,5.747248e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,1.0,16.0,4.0,2.0,1.0,0.0,2.0,5.140669e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,1.0,17.0,4.0,6.0,1.0,0.0,2.0,5.285185e-01,4.0,0.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,1.0,18.0,2.0,4.0,1.0,0.0,2.0,5.758813e-01,4.0,2.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,1.0,19.0,-2.0,4.0,1.0,1.0,3.0,8.277347e-01,2.0,4.0,1.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,1.0,20.0,3.0,7.0,1.0,0.0,1.0,6.266397e-01,3.0,0.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,4.0,61.0,-1.0,3.0,1.0,2.0,3.0,1.108878e+00,3.0,4.0,1.0,Sub111,-2.2463280534449366,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,4.0,62.0,3.0,1.0,1.0,0.0,1.0,5.675992e-01,6.0,3.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,4.0,63.0,-1.0,1.0,1.0,1.0,2.0,8.514418e-01,4.0,5.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,4.0,64.0,4.0,2.0,1.0,0.0,2.0,6.862377e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,4.0,65.0,3.0,5.0,1.0,0.0,2.0,7.342228e-01,4.0,1.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,4.0,66.0,-4.0,4.0,1.0,2.0,3.0,8.832921e-01,1.0,5.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,4.0,67.0,-3.0,3.0,1.0,2.0,3.0,5.522536e-01,2.0,5.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,4.0,68.0,-3.0,3.0,1.0,2.0,3.0,6.577895e-01,2.0,5.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,4.0,69.0,1.0,9.0,1.0,1.0,1.0,8.726256e-01,1.0,0.0,1.0,Sub111,-1.8414281584988599,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,4.0,70.0,1.0,9.0,1.0,1.0,3.0,1.282452e+00,1.0,0.0,1.0,Sub111,-1.8414281584988599,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,4.0,71.0,4.0,2.0,1.0,0.0,2.0,5.437328e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,4.0,72.0,-3.0,5.0,1.0,2.0,3.0,6.497785e-01,1.0,4.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,4.0,73.0,2.0,6.0,1.0,0.0,2.0,6.068209e-01,3.0,1.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,4.0,74.0,-2.0,4.0,1.0,1.0,3.0,7.736612e-01,2.0,4.0,1.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,4.0,75.0,3.0,7.0,1.0,0.0,1.0,6.075869e-01,3.0,0.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,4.0,76.0,2.0,6.0,1.0,0.0,2.0,7.439440e-01,3.0,1.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,4.0,77.0,-4.0,4.0,1.0,2.0,3.0,7.157691e-01,1.0,5.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,4.0,78.0,2.0,8.0,1.0,1.0,3.0,8.061251e-01,2.0,0.0,1.0,Sub111,-3.783214578996994,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,4.0,79.0,-2.0,6.0,1.0,2.0,3.0,8.921576e-01,1.0,3.0,1.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,4.0,80.0,4.0,4.0,1.0,0.0,1.0,6.532854e-01,5.0,1.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.0,2.0,21.0,-1.0,5.0,1.0,1.0,2.0,0.8200084,2.0,3.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,2.0,22.0,-1.0,5.0,1.0,1.0,3.0,0.7209986,2.0,3.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,2.0,23.0,-3.0,5.0,1.0,2.0,3.0,0.8567042,1.0,4.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,2.0,24.0,4.0,2.0,1.0,0.0,2.0,0.7352378,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,2.0,25.0,4.0,6.0,1.0,0.0,2.0,0.5454495,4.0,0.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,2.0,26.0,1.0,7.0,1.0,1.0,2.0,0.8589725,2.0,1.0,2.0,Sub111,-1.8414281584988599,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,2.0,27.0,-1.0,5.0,1.0,1.0,3.0,0.5727877,2.0,3.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,2.0,28.0,4.0,2.0,1.0,0.0,2.0,0.6732209,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,2.0,29.0,-2.0,2.0,1.0,2.0,3.0,0.7298587,3.0,5.0,2.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,2.0,30.0,3.0,1.0,1.0,0.0,2.0,0.6973439,6.0,3.0,2.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,2.0,31.0,-4.0,4.0,1.0,2.0,3.0,0.7472586,1.0,5.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,2.0,32.0,3.0,1.0,1.0,0.0,2.0,0.6363847,6.0,3.0,2.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
1.0,2.0,33.0,2.0,8.0,1.0,0.0,2.0,0.8862383,2.0,0.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,2.0,34.0,-3.0,5.0,1.0,2.0,3.0,0.6957498,1.0,4.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,2.0,35.0,4.0,4.0,1.0,0.0,2.0,0.7817202,5.0,1.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,2.0,36.0,2.0,8.0,1.0,0.0,2.0,0.701479,2.0,0.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,2.0,37.0,-4.0,2.0,1.0,2.0,3.0,0.5578635,2.0,6.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,2.0,38.0,1.0,3.0,1.0,0.0,1.0,0.9017777,4.0,3.0,2.0,Sub111,-0.7708160092806303,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,2.0,39.0,4.0,4.0,1.0,0.0,1.0,0.638863,5.0,1.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,2.0,40.0,4.0,2.0,1.0,0.0,2.0,0.5910324,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
1.0,3.0,41.0,-3.0,1.0,1.0,2.0,3.0,0.6681615,3.0,6.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,3.0,42.0,-1.0,7.0,1.0,1.0,3.0,0.8354301,1.0,2.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,3.0,43.0,-3.0,5.0,1.0,2.0,3.0,0.701069,1.0,4.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,3.0,44.0,2.0,2.0,1.0,0.0,2.0,0.7524892,5.0,3.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,3.0,45.0,2.0,4.0,1.0,0.0,1.0,0.6323057,4.0,2.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,3.0,46.0,-3.0,1.0,1.0,2.0,3.0,0.7275164,3.0,6.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,3.0,47.0,-2.0,4.0,1.0,2.0,3.0,1.176064,2.0,4.0,2.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,3.0,48.0,-4.0,4.0,1.0,2.0,3.0,0.68364,1.0,5.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,3.0,49.0,1.0,9.0,1.0,1.0,3.0,0.795302,1.0,0.0,2.0,Sub111,-1.8414281584988599,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
1.0,3.0,50.0,2.0,6.0,1.0,1.0,3.0,0.8384519,3.0,1.0,2.0,Sub111,-3.783214578996994,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,3.0,51.0,2.0,4.0,1.0,0.0,2.0,0.8183193,4.0,2.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,3.0,52.0,2.0,6.0,1.0,0.0,2.0,0.718537,3.0,1.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
1.0,3.0,53.0,-1.0,7.0,1.0,1.0,1.0,0.7822355,1.0,2.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,3.0,54.0,-1.0,3.0,1.0,0.0,2.0,0.9558945,3.0,4.0,2.0,Sub111,-2.446328053444743,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
1.0,3.0,55.0,-3.0,5.0,1.0,2.0,3.0,0.6716549,1.0,4.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,3.0,56.0,-3.0,3.0,1.0,1.0,3.0,0.5951437,2.0,5.0,2.0,Sub111,-0.8427225492526962,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
1.0,3.0,57.0,-4.0,4.0,1.0,2.0,3.0,0.9221767,1.0,5.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
1.0,3.0,58.0,-2.0,4.0,1.0,0.0,1.0,0.9860346,2.0,4.0,2.0,Sub111,-2.39818252103954,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,3.0,59.0,-2.0,2.0,1.0,1.0,3.0,0.9349564,3.0,5.0,2.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
1.0,3.0,60.0,-4.0,4.0,1.0,2.0,3.0,1.052661,1.0,5.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
